# symbol: AAPL
timeZone=America/New_York
date,time,open,high,low,close,volume
20140326,040000,78.1586,78.4286,76.9801,77.1115,73425800
20140327,040000,77.1087,77.3572,76.4458,76.7801,54456008
20140328,040000,76.8158,76.9915,76.3215,76.6944,49192032
20140331,040000,77.0329,77.2587,76.5615,76.6772,40515328
20140401,040000,76.8229,77.4101,76.6815,77.3787,49520744
20140402,040000,77.4829,77.6401,77.1801,77.5072,43941504
20140403,040000,77.3815,77.5001,76.8058,76.9701,40229424
20140404,040000,77.1429,77.1429,75.7972,75.9744,67943888
20140407,040000,75.4315,75.8429,74.5558,74.7815,71499704
20140408,040000,75.0101,75.1601,74.1001,74.7772,58225780
20140409,040000,74.6858,75.7844,74.5744,75.7601,50570720
20140410,040000,75.8115,76.0344,74.7386,74.7829,58902236
20140411,040000,74.1686,74.6901,73.8772,74.2301,67225256
20140414,040000,74.5415,74.5944,73.8872,74.5258,49717940
20140415,040000,74.2801,74.5201,73.0472,73.9943,65784968
20140416,040000,74.0358,74.4415,73.448,74.1444,51260912
20140417,040000,74.2858,75.3944,74.1715,74.9915,69660096
20140421,040000,75.0401,76.0201,74.8515,75.8815,45018392
20140422,040000,75.4701,75.9752,75.2145,75.9571,49751272
20140423,040000,75.5772,75.8758,74.9215,74.9644,64822236
20140424,040000,81.1944,81.4286,80.1044,81.1101,188044608
20140425,040000,80.5858,81.7129,80.5658,81.7058,95657936
20140428,040000,81.7958,85.1072,81.7929,84.8701,165486048
20140429,040000,84.8244,85.1401,84.2158,84.6187,82832272
20140430,040000,84.6629,85.6329,84.2572,84.2987,99433248
20140501,040000,84.5715,84.9715,83.7658,84.4972,59974236
20140502,040000,84.6987,84.8858,84.2444,84.6544,46899272
20140505,040000,84.3044,85.8572,84.2858,85.8515,69702776
20140506,040000,85.9458,86.3444,84.9158,84.9158,90971800
20140507,040000,85.0144,85.3272,83.9615,84.6187,69726160
20140508,040000,84.0358,85.0458,83.7715,83.9987,56494248
20140509,040000,83.5158,83.7501,82.9044,83.649,71944208
20140512,040000,83.9215,84.8087,83.9144,84.6901,52634576
20140513,040000,84.5715,84.9344,84.3858,84.8229,39265076
20140514,040000,84.6329,85.3429,84.5344,84.8387,41173736
20140515,040000,84.9572,85.2287,84.0058,84.1172,55443692
20140516,040000,84.1158,85.3615,83.6287,85.3587,67959856
20140519,040000,85.3758,86.7615,85.3329,86.3701,78224352
20140520,040000,86.3587,86.6287,85.8187,86.3872,56273552
20140521,040000,86.2858,86.6715,86.0087,86.6158,48339112
20140522,040000,86.6572,87.1215,86.3001,86.7529,49033720
20140523,040000,86.7501,87.8186,86.6387,87.7329,57247008
20140527,040000,87.9844,89.4087,87.9472,89.3758,86067488
20140528,040000,89.4415,89.9758,89.1115,89.1444,78028928
20140529,040000,89.7144,90.9815,89.6815,90.7687,92449024
20140530,040000,91.1401,92.0244,89.8429,90.4287,138705824
20140602,040000,90.5715,90.6901,88.9287,89.8072,91804680
20140603,040000,89.7815,91.2487,89.7501,91.0772,72116360
20140604,040000,91.0401,92.5558,90.8729,92.1172,83115000
20140605,040000,92.3215,92.7672,91.8015,92.4787,74011440
20140606,040000,92.8572,93.0372,92.0672,92.2244,86009032
20140609,040000,92.69,93.88,91.75,93.7,74555168
20140610,040000,94.64,95.05,93.57,94.25,61910464
20140611,040000,94.13,94.76,93.47,93.86,44540216
20140612,040000,94.04,94.12,91.9,92.29,53561864
20140613,040000,92.18,92.44,90.88,91.28,53660720
20140616,040000,91.58,92.75,91.45,92.2,34946460
20140617,040000,92.4,92.7,91.8,92.08,29118022
20140618,040000,92.26,92.29,91.35,92.18,32959876
20140619,040000,92.26,92.3,91.3389,91.86,34981584
20140620,040000,91.92,92.55,90.9,90.91,79797136
20140623,040000,91.33,91.62,90.6,90.83,43164148
20140624,040000,90.75,91.74,90.19,90.28,38302740
20140625,040000,90.25,90.7,89.65,90.36,36156456
20140626,040000,90.37,91.05,89.8,90.9,31836300
20140627,040000,90.86,92.0,90.77,91.98,40731744
20140630,040000,92.16,93.725,92.09,92.93,47789508
20140701,040000,93.56,94.07,93.13,93.52,37405888
20140702,040000,93.85,94.06,93.09,93.48,28149654
20140703,040000,93.69,94.1,93.2,94.03,22426428
20140707,040000,94.15,95.99,94.1,95.968,54174936
20140708,040000,96.2,96.8,93.92,95.35,63578856
20140709,040000,95.45,95.95,94.76,95.39,35817248
20140710,040000,93.75,95.55,93.52,95.035,38986616
20140711,040000,95.38,95.89,94.8625,95.22,33585448
20140714,040000,95.86,96.89,95.65,96.45,42024132
20140715,040000,96.8,96.85,95.03,95.32,43129576
20140716,040000,97.02,97.1,94.74,94.78,52181148
20140717,040000,95.04,95.279,92.57,93.0899,56494064
20140718,040000,93.64,94.74,93.02,94.43,49091632
20140721,040000,95.0,95.0,93.72,93.939,38510176
20140722,040000,94.71,94.89,94.12,94.72,48375840
20140723,040000,95.43,97.88,95.17,97.19,90097552
20140724,040000,97.08,97.32,96.42,97.03,44455016
20140725,040000,96.9,97.84,96.64,97.671,42506752
20140728,040000,97.8,99.24,97.55,99.02,53070856
20140729,040000,99.28,99.44,98.25,98.38,42553620
20140730,040000,98.38,98.7,97.67,98.15,32663604
20140731,040000,97.16,97.45,95.33,95.6,55472876
20140801,040000,95.0,96.62,94.81,96.13,47917784
20140804,040000,96.35,96.58,95.17,95.59,38985608
20140805,040000,95.36,95.68,94.36,95.12,55094764
20140806,040000,94.8,95.48,94.71,94.96,36208880
20140807,040000,94.93,95.95,94.1,94.48,45387612
20140808,040000,94.2,94.82,93.28,94.74,41475752
20140811,040000,95.29,96.08,94.8355,95.99,36280556
20140812,040000,96.22,96.88,95.61,95.97,33121882
20140813,040000,96.17,97.24,96.04,97.24,31278496
20140814,040000,97.39,97.57,96.8,97.5,27792632
20140815,040000,97.99,98.19,96.86,97.98,48408696
20140818,040000,98.48,99.37,97.98,99.16,45765892
20140819,040000,99.41,100.68,99.32,100.53,67889136
20140820,040000,100.48,101.09,99.95,100.57,51701108
20140821,040000,100.55,100.94,100.11,100.58,32929596
20140822,040000,100.31,101.47,100.19,101.32,43492260
20140825,040000,101.81,102.17,101.28,101.54,39607640
20140826,040000,101.46,101.5,100.86,100.889,32561346
